Yıl,İl Kodu,İl Adı,Genel toplam,Genel toplam,Genel toplam,Okuma yazma bilmeyen,Okuma yazma bilmeyen,Okuma yazma bilmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,İlkokul,İlkokul,İlkokul,İlköğretim,İlköğretim,İlköğretim,Ortaokul ve dengi meslek,Ortaokul ve dengi meslek,Ortaokul ve dengi meslek,Lise ve dengi meslek,Lise ve dengi meslek,Lise ve dengi meslek,Yüksekokul veya fakülte,Yüksekokul veya fakülte,Yüksekokul veya fakülte,Yüksek lisans,Yüksek lisans,Yüksek lisans,Doktora,Doktora,Doktora,Bilinmeyen,Bilinmeyen,Bilinmeyen
,,,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın
2008,25,  Erzurum,683574,344874,338700,73912,14347,59565,181464,87858,93606,151854,71960,79894,74195,40950,33245,22502,16593,5909,94242,63578,30664,25995,17341,8654,1571,1008,563,1124,891,233,56715,30348,26367
2008,26,  Eskişehir,688890,341425,347465,24714,4091,20623,101136,47956,53180,213934,89649,124285,57777,29647,28130,41762,26367,15395,155386,90233,65153,50138,30009,20129,3154,1746,1408,1416,851,565,39473,20876,18597
2008,27,  Gaziantep,1377305,690749,686556,131406,24442,106964,403108,195591,207517,346182,183691,162491,163926,86180,77746,43674,30105,13569,140400,85291,55109,41735,26973,14762,2143,1400,743,644,469,175,104087,56607,47480
2008,28,  Giresun,390348,193007,197341,47765,7530,40235,79262,38288,40974,104313,55991,48322,39813,20396,19417,16632,11214,5418,58141,33758,24383,16978,11144,5834,682,433,249,117,90,27,26645,14163,12482
2008,29,  Gümüşhane,119767,59758,60009,10444,1846,8598,25509,12353,13156,33185,15414,17771,14201,7021,7180,5221,3653,1568,17885,11772,6113,4349,3132,1217,148,109,39,43,29,14,8782,4429,4353
2008,30,  Hakkari,218809,118192,100617,38201,10643,27558,73301,36215,37086,18329,10861,7468,28145,17914,10231,3249,2389,860,28097,21797,6300,4568,3523,1045,341,266,75,47,35,12,24531,14549,9982
2008,31,  Hatay,1242076,621217,620859,111481,22293,89188,295477,144456,151021,364212,185463,178749,142531,74576,67955,45654,28793,16861,158911,90803,68108,47133,29594,17539,2034,1263,771,532,380,152,74111,43596,30515
2008,32,  Isparta,374294,186927,187367,21360,3548,17812,62120,29679,32441,126006,57605,68401,36034,18770,17264,16046,11006,5040,68322,39325,28997,23109,14693,8416,1268,798,470,611,461,150,19418,11042,8376
2008,33,  Mersin,1448192,717631,730561,105467,20868,84599,306166,149728,156438,429138,210278,218860,150926,78141,72785,63190,38841,24349,227985,123474,104511,78269,47194,31075,3152,1854,1298,788,498,290,83111,46755,36356
2008,34,  İstanbul,11447893,5747016,5700877,463279,82640,380639,2185433,1063084,1122349,3204062,1553623,1650439,1121072,585784,535288,605488,361741,243747,2044677,1092167,952510,808981,449127,359854,89226,52467,36759,22462,13649,8813,903213,492734,410479
